index,smiles,MLM
245,Cc1c(-c2ccccc2)c(N2CC[C@H](N(C)C)C2)n2nc(C(C)(C)COCc3ccccc3)nc2c1C#N,9.0
246,CC(=O)N1CCCC1c1cc2[nH]c(-c3ccccn3)nc2cc1Oc1ccc(C#N)cc1,48.0
247,CCS(=O)(=O)c1ccc(Oc2cc3nc(-c4ccccn4)[nH]c3cc2C2CCCN2C(C)=O)cc1,61.0
249,CCN(Nc1c(Nc2cccc(C(=O)N(C)C)c2O)c(=O)c1=O)c1ccccn1,50.0
250,C[C@@H]1CN(C(=O)c2ccccc2)[C@H](C)CN1C(=O)C(=O)c1c[nH]c2cccc(F)c12,76.0
251,CC(C)[C@@H](OC(N)=O)[C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](OC(=O)N5CCOCC5)CC[C@@]45C[C@@]35CC[C@]21C,130.0
254,Cc1cnc(NC(=O)C2(C)CCCCC2C)cc1CN1CCOCC1,1.0
255,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(OC(F)(F)F)cc1)C2,82.0
256,COc1cc(NC(=O)c2ccccn2)ccc1Cl,5.3
258,CCC(=O)N1CCN(c2ccc(-n3c(=O)ccc4cnc5ccc(-c6cnc7ccccc7c6)cc5c43)cc2C(F)(F)F)CC1,69.0
259,CC(C)n1nc(C(=O)NCC2CCN(CCc3ccc(C(=O)O)cc3)CC2)c2ccccc21,103.0
260,Cn1cc2c(OCC3CCN(CCc4ccc(C(=O)O)cc4)CC3)nc3ccccc3c2c1,106.0
263,N[C@H]1CC[C@H](Nc2ccc3ncc(-c4cnn(-c5ccc(F)cc5)c4)n3n2)CC1,80.0
264,c1ccc(-n2cc(-c3cnc4ccc(NC5CCNCC5)nn34)cn2)cc1,81.0
265,COC[C@H](NC(=O)c1cc(C)on1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1,0.91
266,COC[C@H](NC(=O)c1cc(C)on1)C(=O)N[C@@H](Cc1ccsc1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1,0.87
267,COC[C@H](NC(=O)c1cc(OC)no1)C(=O)N[C@@H](COC)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1,0.4
268,O=S(=O)(c1ccc(C(F)(F)F)cc1)N1C2Cc3[nH]ncc3C1CC(c1ccc(-c3cncs3)cc1)C2,90.0
269,O=S(=O)(c1ccc(C(F)(F)F)nc1)N1C2Cc3[nH]ncc3C1CC(c1cccc(F)c1)C2,76.0
270,O=S(=O)(c1ccc(C(F)(F)F)cc1)N1C2CC[C@@H](c3ccccc3)C1Cc1[nH]ncc12,36.0
271,N#Cc1csc(NC(=O)Cn2c(=O)ccc3cc(C(F)(F)F)ccc32)c1-c1ncco1,24.0
274,Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1-c1ccc(CNC(=O)CN)cc1,97.0
